"regulation_id","state_code","state_name","topic","subtopic","status","effective_date","summary","source_url_1","citation_1","source_url_2","citation_2","source_quality","verified_by","reviewed_by","verified_at","next_review_due","notes"
"US-AL-IGAMING-CURRENT-001","AL","Alabama","igaming","general_status","","","","","","","","primary","","","","",""
"US-AL-SPORTSBOOK-CURRENT-001","AL","Alabama","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-AL-SWEEPSTAKES-CURRENT-001","AL","Alabama","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-AK-IGAMING-CURRENT-001","AK","Alaska","igaming","general_status","","","","","","","","primary","","","","",""
"US-AK-SPORTSBOOK-CURRENT-001","AK","Alaska","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-AK-SWEEPSTAKES-CURRENT-001","AK","Alaska","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-AZ-IGAMING-CURRENT-001","AZ","Arizona","igaming","general_status","","","","","","","","primary","","","","",""
"US-AZ-SPORTSBOOK-CURRENT-001","AZ","Arizona","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-AZ-SWEEPSTAKES-CURRENT-001","AZ","Arizona","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-AR-IGAMING-CURRENT-001","AR","Arkansas","igaming","general_status","","","","","","","","primary","","","","",""
"US-AR-SPORTSBOOK-CURRENT-001","AR","Arkansas","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-AR-SWEEPSTAKES-CURRENT-001","AR","Arkansas","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-CA-IGAMING-CURRENT-001","CA","California","igaming","general_status","","","","","","","","primary","","","","",""
"US-CA-SPORTSBOOK-CURRENT-001","CA","California","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-CA-SWEEPSTAKES-CURRENT-001","CA","California","sweepstakes","general_status","","","","","","","","primary","","","","",""
"US-CO-IGAMING-CURRENT-001","CO","Colorado","igaming","general_status","","","","","","","","primary","","","","",""
"US-CO-SPORTSBOOK-CURRENT-001","CO","Colorado","sportsbook","general_status","","","","","","","","primary","","","","",""
"US-CO-SWEEPSTAKES-CURRENT-001","CO","Colorado","sweepstakes","general_status","","","","","","","","primary","","","","",""
